stream_id,created_at,created_display,content,title,type,symbol,topics,username,fullname,user_id,is_verified,is_pro,total_likes,total_replies,parent_stream_id,is_pinned,is_trending,has_image,image_url,tp_target_price,tp_last_price,tp_duration_days,tp_agree,tp_disagree,url,label
29135243,2026-03-03 08:41:01,"3 Mar 26, 08:41",$TFAS Cuss Terbang lagii hari Ini 🔥   random tag $INET $DEWA,,STREAM_TYPE_UNSPECIFIED,DEWA,"TFAS, INET, DEWA",ZakkilM,Zakkil Mubarak,5541039,False,False,1,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135243,Positif
29135224,2026-03-03 08:40:39,"3 Mar 26, 08:40",$BUMI naik nih batubara.. bumi gmn ini membumi lagi apa ikutan terkerek naik?  $DEWA,,STREAM_TYPE_UNSPECIFIED,DEWA,"BUMI, DEWA",ekacher,mami cher,1798558,False,False,0,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135224,Positif
29134964,2026-03-03 08:31:05,"3 Mar 26, 08:31",Salah satu syarat menjadi seorang trader profesional adalah siap menerima kenyataan ! Akan jadi $DEWA bumi atau $DEWA langit   😁,,STREAM_TYPE_CHART,DEWA,"DEWA, DEWA",iyprasetyo,Indra Prasetyo,6654076,False,False,2,0,0,False,False,True,https://stream-asset.stockbit.com/a355e530-2380-461d-a306-497ca6fe9297_stream.png,,,,,,https://stockbit.com/stream/29134964,Positif
29134489,2026-03-03 08:07:58,"3 Mar 26, 08:07","Konflik tersebut memukul pasokan gas alam cair (LNG) global. Qatar, yang memasok sekitar 20% LNG dunia, dilaporkan menghentikan produksi setelah fasilitasnya terdampak serangan. Selain itu, kapal-kapal LNG tertahan di Selat Hormuz, jalur vital yang menghubungkan Teluk Persia dengan pasar Asia.  Situasi ini membuat negara-negara di Asia dan Eropa, yang sangat bergantung pada LNG Timur Tengah, menghadapi lonjakan biaya energi dan ancaman kekurangan pasokan. Pakistan, misalnya, hampir 100% kebutuhan LNG-nya berasal dari Qatar. Bangladesh dan India juga memperoleh sebagian besar pasokan LNG dari kawasan tersebut.  Di tengah tekanan itu, batu bara kembali menjadi pilihan alternatif pembangkit listrik. James Stevenson, analis OPIS, unit dari Dow Jones & Company, mengatakan batu bara dan gas alam pada dasarnya saling menggantikan dalam pembangkitan listrik.  “Ketika harga gas terlalu mahal atau pasokannya terganggu, utilitas akan beralih ke batu bara,” ujar Stevenson.    $DEWA $BUMI $GTSI 🚀🚀",,STREAM_TYPE_UNSPECIFIED,DEWA,"DEWA, BUMI, GTSI",Tedyswara08,dhy,5276130,False,False,4,0,0,False,False,True,https://stream-asset.stockbit.com/stream_5276130_fa107d32-2215-4e36-b90b-f6e9e1cac723_0.jpg,,,,,,https://stockbit.com/stream/29134489,Negatif
29134197,2026-03-03 07:47:38,"3 Mar 26, 07:47","@Yasbi Bahana menargetkan $DEWA potensi ke 850.  Pertanyaan yg sering ditanyakan mulu : 1. Sumber dari mana? Bloomeberg dah jelas dicantumkan atau silahkan tanya ke Bahana/Sekuritas yg biasa disebutkan.  2. Kok Searching di Bloomberg ga ada? Lu harus Langganan Bloomberg Terminal berkisar antara USD 24.000 hingga lebih dari USD 30.000 per tahun (sekitar Rp370 juta - Rp470 juta+) per pengguna. Biaya ini umumnya dibayar tahunan dan mencakup data keuangan real-time, berita, analitik, dan alat perdagangan yang digunakan oleh profesional.  3. Terus itu dapat dari mana? Sekuritas.  Tolong kalo gw nanti post dari bloomberg bantu copy link jawaban ini ya bro.. :)",,STREAM_TYPE_UNSPECIFIED,DEWA,DEWA,alhafidofficial,CUAN  CUY,1285579,False,False,3,7,29097324,False,False,False,,,,,,,https://stockbit.com/stream/29134197,Netral
29133860,2026-03-03 07:16:45,"3 Mar 26, 07:16",TANPA BASA BASI  ARA ARA   SINI BANG GABUNG KITE MAU TERBANG $BUMI $DEWA $BBRI,,STREAM_TYPE_UNSPECIFIED,DEWA,"BUMI, DEWA, BBRI",Deooprtma,Odeo Purba,4968096,False,False,1,0,0,False,False,False,,725.0,580.0,7.0,58.0,21.0,https://stockbit.com/stream/29133860,Positif
29133741,2026-03-03 06:56:38,"3 Mar 26, 06:56",ngimpi lo ketinggian bos masa bisnis cuma jalan tol hargaa saham nyaa ngalahin hargaa saham $BUMI dan $DEWA perusahaan tambang..,,STREAM_TYPE_UNSPECIFIED,DEWA,"BUMI, DEWA",kapanhokiy,bonek,3207427,False,False,1,3,29132330,False,False,False,,,,,,,https://stockbit.com/stream/29133741,Positif
29133601,2026-03-03 06:31:44,"3 Mar 26, 06:31",@RizaRahmadi $DEWA bisa longsor sedalam ini.😔 .,,STREAM_TYPE_UNSPECIFIED,DEWA,DEWA,ahmatHaerudin,haerudin,3963672,False,False,0,4,29129155,False,False,False,,,,,,,https://stockbit.com/stream/29133601,Negatif
29133593,2026-03-03 06:28:27,"3 Mar 26, 06:28",mudah mudahan. yg di takut kan berhenti di 540 $DEWA,,STREAM_TYPE_UNSPECIFIED,DEWA,DEWA,ahmatHaerudin,haerudin,3963672,False,False,0,1,29133362,False,False,False,,,,,,,https://stockbit.com/stream/29133593,Positif
29133507,2026-03-03 06:06:29,"3 Mar 26, 06:06",$BUMI $DEWA $PTRO saatnya coal manggung,,STREAM_TYPE_UNSPECIFIED,DEWA,"BUMI, DEWA, PTRO",anangdwicandra,Anang Dwi Candra,492805,False,False,11,2,29133507,False,False,True,https://stream-asset.stockbit.com/stream_492805_ed0d4373-8b89-4aee-81a3-f9aa64b7d9a8_0.jpg,,,,,,https://stockbit.com/stream/29133507,Positif
